City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (1hr),Snow (1hr)
190,Olga,RU,2020-05-11 00:15:22,43.74,135.29,55.29,85,65,4.29,light rain,0.31,0.0
191,Ugoofaaru,MV,2020-05-11 00:15:22,5.67,73.0,84.72,78,98,10.04,moderate rain,1.15,0.0
192,Te Anau,NZ,2020-05-11 00:15:23,-45.42,167.72,50.29,86,100,1.57,light rain,0.55,0.0
193,Iwanai,JP,2020-05-11 00:15:23,42.97,140.51,57.2,76,96,3.22,overcast clouds,0.0,0.0
194,Saint-Pierre,RE,2020-05-11 00:15:23,-21.34,55.48,69.8,77,75,8.05,broken clouds,0.0,0.0
195,Xiongyue,CN,2020-05-11 00:15:23,40.18,122.12,59.0,40,37,17.25,scattered clouds,0.0,0.0
196,Aksarka,RU,2020-05-11 00:15:23,66.56,67.8,33.4,97,100,5.48,overcast clouds,0.0,0.0
197,Puerto Vallarta,MX,2020-05-11 00:14:07,20.62,-105.23,82.4,69,20,11.41,few clouds,0.0,0.0
198,Fort Nelson,CA,2020-05-11 00:15:23,58.81,-122.7,55.4,30,20,11.41,few clouds,0.0,0.0
199,Ossora,RU,2020-05-11 00:15:23,59.24,163.07,34.27,92,99,1.05,overcast clouds,0.0,0.0
200,Acapulco,MX,2020-05-11 00:10:38,16.86,-99.89,86.0,66,5,10.29,clear sky,0.0,0.0
201,Homer,US,2020-05-11 00:15:23,59.64,-151.55,51.01,75,1,19.46,clear sky,0.0,0.0
202,Esperance,AU,2020-05-11 00:15:24,-33.87,121.9,50.0,57,82,10.29,broken clouds,0.0,0.0
203,Trelew,AR,2020-05-11 00:15:24,-43.25,-65.31,52.84,54,83,27.18,broken clouds,0.0,0.0
204,Boke,GN,2020-05-11 00:15:24,10.94,-14.3,75.54,83,2,3.98,clear sky,0.0,0.0
205,Maldonado,UY,2020-05-11 00:15:24,-34.67,-54.92,66.99,77,1,8.16,clear sky,0.0,0.0
206,Avera,US,2020-05-11 00:15:24,33.19,-82.53,71.6,43,1,3.67,clear sky,0.0,0.0
207,Omachi,JP,2020-05-11 00:15:24,36.5,137.87,70.0,77,20,2.24,few clouds,0.0,0.0
208,Alyangula,AU,2020-05-11 00:15:24,-13.85,136.42,80.6,57,52,8.05,broken clouds,0.0,0.0
209,Moa,CU,2020-05-11 00:15:24,20.66,-74.94,80.01,83,95,8.08,light rain,0.11,0.0
210,Lima,PE,2020-05-11 00:11:46,-12.04,-77.03,71.6,68,26,14.99,scattered clouds,0.0,0.0
211,Zhigansk,RU,2020-05-11 00:15:24,66.77,123.37,28.0,96,13,20.02,few clouds,0.0,0.0
212,East London,ZA,2020-05-11 00:15:25,-33.02,27.91,72.16,33,0,7.74,clear sky,0.0,0.0
213,Vaini,TO,2020-05-11 00:15:25,-21.2,-175.2,82.4,65,20,17.22,few clouds,0.0,0.0
214,Billings,US,2020-05-11 00:15:25,45.78,-108.5,51.01,39,75,16.11,broken clouds,0.0,0.0
215,Iskateley,RU,2020-05-11 00:15:25,67.68,53.15,28.71,99,63,5.35,broken clouds,0.0,0.0
216,Taoudenni,ML,2020-05-11 00:15:25,22.68,-3.98,93.99,10,68,10.87,broken clouds,0.0,0.0
217,Makakilo City,US,2020-05-11 00:15:25,21.35,-158.09,84.2,54,75,9.17,broken clouds,0.0,0.0
218,Dingle,PH,2020-05-11 00:15:25,11.0,122.67,85.6,66,99,6.11,overcast clouds,0.0,0.0
219,Hailey,US,2020-05-11 00:15:25,43.52,-114.32,73.4,23,20,11.41,few clouds,0.0,0.0
220,Dossor,KZ,2020-05-11 00:15:25,47.53,52.98,55.76,71,100,9.01,light rain,0.12,0.0
221,Port Blair,IN,2020-05-11 00:15:25,11.67,92.75,83.77,73,100,2.55,overcast clouds,0.0,0.0
222,Zimapan,MX,2020-05-11 00:15:25,20.75,-99.35,63.91,73,18,10.25,light rain,0.11,0.0
223,Talnakh,RU,2020-05-11 00:15:26,69.49,88.4,30.2,92,56,6.71,broken clouds,0.0,0.0
224,Hudson Bay,CA,2020-05-11 00:15:26,52.85,-102.38,41.38,57,99,8.41,overcast clouds,0.0,0.0
225,Kalmar,SE,2020-05-11 00:15:26,56.66,16.36,48.2,87,100,9.17,light rain,0.14,0.0
226,Charlottesville,US,2020-05-11 00:10:50,38.03,-78.48,66.2,29,1,11.41,clear sky,0.0,0.0
227,Los Llanos De Aridane,ES,2020-05-11 00:15:26,28.66,-17.92,68.0,72,23,6.93,few clouds,0.0,0.0
228,Lata,PT,2020-05-11 00:15:26,40.16,-8.33,60.01,85,95,1.99,light rain,0.49,0.0
